id,question,gold,prediction,attempts,score
151,"Martina is accepted for a highly sought after contract, but has to fly to the location. Martina has a phobia of flying.",Find alternative travel arrangements,A,"['C', 'A', 'A', 'A', 'A']",0
152,"Manual is only a few years from retirement when he finds out his position will no longer exist, although he will still have a job with a less prestigious role.",Carefully consider his options and discuss it with his family,A,"['A', 'A', 'NONE', 'NONE', 'A']",0
153,"Rhea has left her job to be a full-time mother, which she loves, but she misses the company and companionship of her workmates.",Join a playgroup or social group of new mothers,A,"['B', 'A', 'A', 'A', 'B']",0
154,Pete has specific skills that his workmates do not and he feels that his workload is higher because of it.,Speak to his boss about his heavier workload,A,"['A', 'B', 'A', 'B', 'A']",0
155,Surbhi starts a new job where he doesn't know anyone and finds that no one is particularly friendly.,Make an effort to know people and be friendly,A,"['A', 'A', 'A', 'A', 'A']",0
156,"Darla is nervous about presenting her work to a group of seniors who might not understand it, as they don't know much about her area.","Work on her presentation, simplifying the explanations",NONE,"['NONE', 'B', 'NONE', 'A', 'A']",0
157,"Upon entering full-time study, Vincent cannot afford the time or money he used to spend on waterpolo training, which he was quite good at. Although he enjoys full-time study, he misses training","Set aside a certain amount of time each week to play water polo, and spend the remaining time on classes",A,"['A', 'B', 'A', 'B', 'A']",0
158,Greg has just gone back to university after a lapse of several years. He is surrounded by younger students who seem very confident about their ability and he is unsure whether he can compete with them.,Study hard and attend all the lectures,A,"['A', 'A', 'A', 'A', 'A']",0
159,"Chris is nervous about acting a scene when there are a lot of very experienced actors in the crowd, and he doesn't have enough time to prepare more.",Believe in himself and know it will be fine,B,"['B', 'B', 'A', 'B', 'B']",0
160,Mark is fairly sure his company is going down and his job is under threat. It is a large company and nothing official has been said.,Start applying for other jobs,A,"['A', 'A', 'A', 'B', 'A']",0
161,"Mallory moves from a small company to a very large one, where there is little personal contact and not a lot of gathering going on, which she misses.","Talk to her workmates, try to create social contacts and make friends",B,"['B', 'B', 'B', 'B', 'B']",0
162,"Ethan is feeling overwhelmed and stressed due to the demands of his college courses, while also working a part-time job. He enjoys both but is finding it hard to balance the commitments.",Create a detailed schedule to better manage his time,B,"['B', 'B', 'A', 'B', 'B']",0
163,Emily is consistently overlooked for leadership roles at her local community because she is seen as too quiet and reserved. She really wants to contribute and grow her leadership skills in this environment.,Start asserting herself more in community activities to change people's perceptions.,A,"['A', 'A', 'A', 'A', 'A']",0
164,"Matilda has just started a new job and is trying to fit in, but she finds that her coworkers often engage in negative gossip about others at the office.",Approach her coworkers first and discuss this problem,A,"['A', 'A', 'A', 'A', 'A']",0
165,Alex is a project manager and his team is falling behind on their work due to communication issues.,Implement training sessions to improve teamwork and communication skills,A,"['A', 'A', 'A', 'A', 'A']",0
166,"Due to her expertise in the field, Naomi has been tasked to lead an important project at work. However, the project does not align with her experiences and she feels unsure about how to approach it.",Request her supervisor to reassess the situation,A,"['A', 'A', 'A', 'A', 'A']",0
167,"Tom, a PhD student, has been given a piece of research work by his supervisor. While his labmates seem to find the task easy, he finds it challenging and cannot comprehend it completely.",Find a labmate who can help him understand the task,A,"['A', 'A', 'A', 'A', 'A']",0
168,I recently received a work email from my boss criticizing a project that I've put a great amount of effort into. I feel like the criticism is unfair and not constructive.,Reply to the email explaining the possible misunderstanding,A,"['A', 'A', 'A', 'A', 'A']",0
169,"Isabella finds out that her coworker, who started at the same time as her, is earning a higher salary for doing the same job.",Schedule a time and discuss the matter with her boss,A,"['A', 'A', 'A', 'NONE', 'A']",0
170,Alec has been asked to give a speech at an upcoming conference. He has never spoken to such a large audience before.,Spend time practicing and honing his public speaking skills,A,"['A', 'A', 'A', 'A', 'A']",0
171,Patel just got promoted to the manager position at his office. He has to oversee close friends whom he was previously equal with and is unsure about setting boundaries and how this affects their relationship.,Keep professional matters strictly in the office and social matters outside,A,"['A', 'A', 'A', 'A', 'A']",0
172,"Connor is part of a group project at his university, but he is finding it difficult to collaborate with a teammate who always dismisses his ideas.",Try to understand the teammate's point of view and find a compromise,A,"['B', 'A', 'A', 'C', 'C']",0
173,"Jess is going to graduate soon and has been job hunting for the past weeks. She doesn't want to continue in academia but due to the intense job market, she has been finding it hard to find a job.",Reassess her job search strategy and improve her application materials,B,"['B', 'A', 'C', 'B', 'B']",0
174,"Ruby was just offered the job of her dreams in an outstanding company, but the position is in a different city, and moving would mean leaving her family and close friends behind.",Try discussing with her friends the situation she is facing now,A,"['A', 'A', 'A', 'A', 'A']",0
175,It's Paolo's first time attending a conference and he came with some of his labmates. He wants to make new connections but is struggling to do so due to his introverted nature.,Start by joining some smaller group discussions or workshops and meeting people there,A,"['A', 'B', 'B', 'A', 'A']",0
176,Sana's boss tells her she didn't get the promotion she worked so hard for.,"“It's okay, I will continue to work hard”",A,"['A', 'NONE', 'B', 'NONE', 'A']",0
177,"During an important company meeting, Ed's colleague pointed out an error he had made in a report in front of the entire team.","“I promise I won't make the same mistake again, thank you for pointing it out”",A,"['A', 'A', 'A', 'A', 'B']",0
178,"Adam and I have developed a healthy work relationship and always respect each other. But yesterday, he just snapped at me for no apparent reason.","""Is there something bothering you? You seem upset""",A,"['A', 'A', 'A', 'A', 'A']",0
179,"I received a low grade on a test, and my classmates who all got high scores wanted to discuss our performance.","""Wow, you guys did really well, congrats!""",A,"['A', 'A', 'A', 'A', 'A']",0
180,"Katie's study partner let her know last minute that they had to cancel, leaving her unprepared for the test tomorrow.","""This is a difficult situation, we can work together to avoid this situation in the future""",A,"['A', 'A', 'A', 'A', 'A']",0
181,"Jacob's classmate just announced that she scored the highest in our recent exam, which Jacob had studied hard for but didn't perform that well.","""I'm happy for you, maybe you can give me some tips for the next one?""",B,"['C', 'B', 'B', 'A', 'B']",0
182,My downstairs neighbor just came and knocked on my door to tell me my loud music was disturbing her study time.,"""I'm sorry I didn't notice, I'll try to be more considerate""",A,"['A', 'A', 'A', 'A', 'A']",0
183,My coworker just informed me that she was promoted to a position that I deeply desired.,"""Although I wish I could get this position, I'm happy for you. Let's work hard together.""",A,"['A', 'A', 'A', 'A', 'A']",0
184,Adam recently found out that he was turned down for a project proposal at work that he was very excited about.,"""I need to ask for feedback so I can make improvements next time""",A,"['A', 'NONE', 'NONE', 'A', 'A']",0
185,"Emma, who works at a law firm, received negative feedback from clients today, saying her work was disorganized and her strategy was confusing. But after the inspection, Emma found that many of the customer reviews had logical contradictions.","""I'm sorry you feel that way, can we talk about this when you have time?""",A,"['A', 'A', 'A', 'A', 'A']",0
186,"My team leader at work just informed me that I need to work this weekend, but I already made plans that I was excited about.","""I understand the situation. Can we find a compromise?""",A,"['A', 'A', 'A', 'A', 'A']",0
187,My neighbor told me that she feels like she's failing as a mother because she's always tired and doesn't play with her kids as much.,"""It's a normal reaction since taking care of kids is hard. Remember to take care of yourself too""",B,"['A', 'A', 'B', 'B', 'B']",0
188,Dani's supervisor has just given him a huge amount of work with a very short deadline,"""I think it might be a bit difficult. Is there anyone else that can help?""",B,"['A', 'B', 'B', 'B', 'B']",0
189,"My neighbor loves to organize weekly small gatherings. But due to my busy schedule, I haven't been able to attend recently. Today, she confronted me about it.","""I'm sorry. I have been swamped with work lately. Let's try matching our schedules, shall we?""",A,"['NONE', 'NONE', 'A', 'A', 'A']",0
190,"Grant usually plays soccer with his classmate for fun. Last week, they decided to participate in a competition, and his classmate was shouting at him for every mistake during the game.","""I think you can tell me instead of yellling. We are a team and we should support each other""",A,"['A', 'B', 'A', 'A', 'A']",0
191,"During a meeting to discuss our project's progress, my colleague accused me of not working hard enough in front of the team.","""While I appreciate your input, the division of work has been made and I am working hard on my part""",A,"['A', 'A', 'A', 'A', 'A']",0
192,"Dea is always embarrassed to speak in class and always keeps quiet. Recently, she was informed by her teacher that her class participation grades are low and she needs to be more active to pass.","""Can I contribute in other ways than being active in class?""",A,"['B', 'A', 'C', 'A', 'A']",0
193,"Yesterday, we handed in our project reports to the supervisor. I found out that a labmate scolded me in his report for a mistake that he believed I made, but it was actually his fault.","""Let's go through the situation together again to clarify the misunderstanding""",A,"['A', 'A', 'A', 'A', 'B']",0
194,"Bob's teammate took over most of the final Q&A session for their group project and spoke over Bob, making Bob's contributions and understanding of the project seem insignificant.","""Great point, but I have some additional input that I would like to say""",B,"['C', 'B', 'B', 'A', 'A']",0
195,"Jane's neighbor has been spreading false rumors about her in the community, which heavily affects her reputation.","""That was out of line. If you have any problems with me, you can bring it up to me and we can figure things out""",A,"['A', 'A', 'NONE', 'NONE', 'A']",0
196,"Karen was working when her manager called her to his office. He said that the company will be reducing her work hours next week, but she needs the extra money.","""I understand, is there any way that I can pick up some more extra shifts?""",B,"['D', 'B', 'C', 'B', 'B']",0
197,"After a project meeting, the TA pulled Ian aside to talk to him privately. She gave him some feedback about his presentation, which was not really helpful nor constructive.","""Thank you for your comments However, I think there might be some misunderstandings that we could clarify""",A,"['A', 'A', 'A', 'A', 'A']",0
198,"Frank and his team gave the proposal presentation today. While the teacher didn't have any comments, the teaching assistant gave them some feedback, which was not constructive criticism and they didn't find it helpful as it felt like he didn't understand their presentation.","""We appreciate your feedback, is there any chance we could discuss further?""",D,"['D', 'D', 'D', 'D', 'D']",0
199,"Kyle practiced his project plan with his labmate, Gary, and was heavily criticized. However, during the meeting when the supervisor was present, Gary started giving positive feedback on his plan.","""Thank you for your feedback. Our earlier discussion gave me a different impression. Can we go over these points again?""",C,"['C', 'C', 'C', 'C', 'A']",0
200,"Matt decided to participate in a hackathon. However, when it was time to start their team project, he became really busy with other projects and couldn't really contribute to the project.","""I'm so sorry, I've been really busy with other projects and didn't have time to complete it""",B,"['B', 'B', 'B', 'B', 'A']",0
1,萨拉发现自己的弟弟在学校受欺负了，但他恳求她不要告诉爸妈。,建议弟弟和老师或者辅导员聊聊,A,"['C', 'A', 'A', 'A', 'A']",0
2,娜塔的朋友最近因为一次糟糕的分手崩溃了，整天不停地给娜塔打电话倾诉感情，搞的娜塔不堪重负。,建议她的朋友向心理咨询师寻求专业帮助,B,"['B', 'NONE', 'B', 'C', 'C']",0
3,詹姆斯的好友最近行为冷淡，对人不理不睬。詹姆斯问他发生了什么事，他含糊其辞地说只是在处理一些“个人问题”。,尊重朋友隐私但表达随时可以帮助的意愿,A,"['A', 'B', 'A', 'A', 'A']",0
4,迈克十几岁的儿子昨天被抓到在商店偷视频游戏。,安排和店主会面来让儿子当面道歉,A,"['A', 'A', 'A', 'A', 'A']",0
5,萨曼莎十几岁的女儿最近开始和一群她觉得会影响不好的朋友混在一起。,和女儿讨论她的担忧,B,"['B', 'A', 'B', 'B', 'B']",0
6,罗伯有一件旧的红色t恤，他想扔掉。一天，他的朋友安德鲁向他借这件t恤参加一个聚会。第二天，安德鲁来找罗伯，很抱歉地告诉他，他把t恤弄丢了。,说明这是没关系的，因为这件t恤对他没有任何价值,NONE,"['NONE', 'B', 'A', 'NONE', 'A']",0
7,尼克的弟弟因为成绩不好失去了奖学金，现在他不知道该如何继续他的学业了。,帮他找一个兼职,A,"['A', 'A', 'A', 'A', 'A']",0
8,在阿德里安下班回家的路上，他被堵在了路上，这时一个人开始对他大喊大叫，说他开车不好。当他从车里出来面对那个人时，他意识到那是他的父亲。,一笑置之，对意外和巧合开个玩笑,B,"['B', 'A', 'B', 'A', 'B']",0
9,丽吉娜最好的朋友最近和她长期的伴侣分手了，并在半夜给丽吉娜发短信，表达她的孤独感。,熬夜倾听朋友的倾诉,A,"['A', 'A', 'A', 'B', 'A']",0
10,帕特里夏最好的朋友和她分享，她觉得自己在和男友的关系中感到困顿，因为他们不断地吵架。,鼓励她的朋友和她男朋友开诚布公地交流他们的问题,B,"['A', 'B', 'B', 'C', 'B']",0
11,萨拉最好的朋友向她吐露自己正在经历财务困难；她羞于求助，更愿意私下解决。,与她讨论潜在的解决方案和可用的资源,B,"['NONE', 'B', 'A', 'A', 'B']",0
12,我的朋友对我撒谎，他说他负责的那部分小组项目已经完成了。,指出他的错误并讨论未来的计划,A,"['A', 'B', 'D', 'A', 'C']",0
13,安德烈搬离了他的朋友和家人所在的城市。他发现他的朋友们并不像他想象的那样与他努力保持联系。,他应该努力联系他们，但也尝试在新城市结识新朋友,A,"['A', 'A', 'A', 'A', 'A']",0
14,卡特琳娜花了很长时间才开始为家庭电影之夜放映一部电影。 她妹妹说：“你个白痴，放电影有多难？” 卡特琳娜与她的姐姐和家人关系非常密切。,让她的妹妹帮忙或去做,A,"['A', 'A', 'A', 'A', 'A']",0
15,辨治郎的父母已经 80 多岁了，独自住在州际公路上的一所房子里。 他担心他们需要帮助，但每当他提起这个话题时，他们都会愤怒地否认。,经常和家人拜访,NONE,"['NONE', 'B', 'NONE', 'A', 'A']",0
16,安迪接了电话，听说她的近亲病得很重，现在在医院里。,跟家里人多聊聊，安慰一下自己，了解一下情况，然后去医院看看,A,"['A', 'A', 'A', 'A', 'B']",0
17,埃文的妹妹在他家过夜的时候，深夜做了饭，厨房里留下了一团糟，埃文早餐的时候发现了。,让他妹妹有时间就尽快清理厨房,A,"['A', 'A', 'A', 'B', 'A']",0
18,格洛丽亚的室友们从来不在生活必需品快用完的时候买，总是指望格洛丽亚去买，这让她很不爽。他们彼此相当了解，但还没有讨论过财务问题。,提出一个新的购物分担费用的系统,A,"['A', 'A', 'A', 'A', 'B']",0
19,贝拉在国外时得知她的父亲因为近年来的疾病去世了。,联系她的近亲了解情况并寻求支持,A,"['A', 'A', 'A', 'A', 'A']",0
20,米娜和她嫂子平时相处得很好，嫂子定期为她照看孩子并收一点钱。最近，她嫂子在帮忙清理蜘蛛网，并评论说乱七八糟的，这让米娜觉得很没礼貌。,告诉她的嫂子这些评价让她难过,A,"['A', 'C', 'D', 'A', 'C']",0
21,杰瑞曾在同一行业做过几份短期工作，但现在他对在其他行业找一份工作感到兴奋。他的父亲随口说他最多做六个月。,通过努力在新工作中取得成功来证明他错了,A,"['A', 'A', 'A', 'A', 'A']",0
22,米歇尔的朋友达拉要搬到海外和她的伴侣住在一起。他们是多年的好朋友，并且达拉不太可能再回来了。,确保她通过电子邮件，电话或写信保持联系,A,"['A', 'B', 'A', 'A', 'A']",0
23,莎妮娅已经好几个月没有和她的侄子说话了，而在他小的时候，他们非常亲密。现在她打电话给他，但他说他只能说五分钟。,明白关系会改变，但要不时地给他打电话,B,"['B', 'A', 'B', 'B', 'A']",0
24,安德鲁最好的朋友向他坦白，他对自己的妻子不忠，不知道下一步该怎么办。,鼓励他的朋友和情感咨询师谈谈,C,"['C', 'A', 'C', 'D', 'D']",0
25,安妮塔最好的朋友玛雅最近因为分手而情绪低落，很难集中精力完成即将到来的大学作业。,帮助她找到解决分手影响的方法，并保持开放的交流,B,"['B', 'A', 'B', 'A', 'B']",0
26,昨天，她和她的妹妹在吃晚餐时，接到了医院的电话。医生告诉她他们找到了可能的解决方案。艾琳的手机掉在地上，她抽泣着捂住了脸。看到这一幕，她的妹妹立刻走到她身边。,“天呐，出什么事了？”,B,"['B', 'B', 'B', 'B', 'B']",0
27,我的女朋友告诉我，我们在外面吃完午饭后，她的胃痛得厉害。,“这段时间我会照顾你的”,A,"['A', 'A', 'A', 'A', 'NONE']",0
28,乔纳斯的弟弟向乔纳斯吐露，他仅此一次的高考考得很差。,“高考不是一切，你的生活由你自己决定。”,NONE,"['NONE', 'NONE', 'NONE', 'A', 'NONE']",0
29,我最好的朋友告诉我，她养了10年的狗刚刚去世了。,“我很确定你的狗会很开心他的主人是你的”,A,"['A', 'A', 'A', 'A', 'A']",0
30,艾瑞斯的妹妹透露，她因为体重增加感到不开心,“咱们开始一起健身怎么样？”,B,"['B', 'B', 'NONE', 'NONE', 'B']",0
31,我的妹妹正在哭泣，因为她最好的朋友突然就搬走了。,“你们闲时你总能给她打电话的”,B,"['B', 'B', 'B', 'B', 'A']",0
32,希拉的最好朋友刚告诉希拉，她第三次驾驶考试还是没通过。,“别担心，继续练习下次一定能过”,B,"['B', 'A', 'B', 'C', 'C']",0
33,鲍比的哥哥刚向鲍比承认，他不小心倒车撞到了另一辆车，然后没有留下字条就离开了现场。,“你应该对自己的行为负责”,A,"['B', 'A', 'A', 'A', 'A']",0
34,我亲密的朋友向我吐露，她感到孤独和不快乐，因为她的所有其他朋友都开始了恋爱关系。,“我在你身边，你并不孤单”,C,"['C', 'C', 'C', 'C', 'B']",0
35,芭芭拉的妹妹向芭芭拉吐露，她觉得新工作让她应接不暇，这给她造成了很大的压力。,“我看得出你真的很有压力，我们来谈谈吧。也许我们可以一起解决问题”,NONE,"['NONE', 'NONE', 'B', 'NONE', 'NONE']",0
36,莉莉的弟弟热切地告诉莉莉他画了一幅画，但莉莉认为那画并不好,“我认为如果你继续练习，你会提高更多”,B,"['B', 'B', 'C', 'B', 'C']",0
37,我的室友刚承认她对她的男朋友不忠。,“我认为你应该诚实，告诉他这件事”,A,"['B', 'A', 'A', 'A', 'B']",0
38,昨天，宝拉的女儿哭着来找她，向母亲坦白自己怀孕了。她非常害怕，因为她不知道孩子的父亲是谁。,"""别担心，你不是一个人。我们会一起解决这个问题""",A,"['A', 'A', 'A', 'A', 'B']",0
39,凯文最好的朋友告诉他，一直家暴她的丈夫去世了，她的心情很复杂。,“不要担心，你可以和我一起聊聊，我会一直在这里。”,A,"['A', 'A', 'A', 'A', 'A']",0
40,我高中的朋友告诉我，她有酗酒的问题，不知道该怎么办。,“我很感激你跟我分享这些，我们一起来解决吧”,A,"['A', 'A', 'A', 'A', 'A']",0
41,丽贝卡告诉她的妹妹雷切尔，最近她一直感到很沮丧，对她以前喜欢做的事情都失去了兴趣。,"""你想不想我们一起尝试一些新的爱好？""",B,"['A', 'B', 'B', 'B', 'A']",0
42,昨天，安妮告诉她妈妈她怀孕了。她说她感到害怕，觉得自己还没有准备好当母亲。,“别担心，你不是一个人。我们会一起解决这个问题。”,A,"['A', 'A', 'B', 'B', 'A']",0
43,经过几周的犹豫不决，欧文最终告诉了他的父母，由于失业，他遇到了严重的财务问题。,"""我们可以借给你一些钱，直到你再次站稳脚跟""",A,"['C', 'B', 'A', 'D', 'A']",0
44,爱丽丝最好的朋友罗斯告诉她，她觉得自己在成绩和成就方面无法与其他同学竞争。,“我们可以从比较中发现自己的短板并努力改正”,A,"['A', 'A', 'A', 'A', 'A']",0
45,我父亲告诉我，我母亲不忠。,“我觉得你应该和妈妈好好谈谈，想想下一步该怎么做。”,A,"['A', 'A', 'A', 'A', 'A']",0
46,因为最近皮肤上长痘痘，玛丽的室友跟她说她因为自己的外表所以没有信心。,“我可以和你分享我的护肤秘诀来帮你祛痘。”,A,"['A', 'NONE', 'A', 'A', 'A']",0
47,作为一名私人教练，我在过去的六个月里一直在训练詹姆斯。今天，他向我表达了他的沮丧，因为在我们所有的训练之后，他没有增加任何肌肉。,“我认为你应该看看你的进步，看看你已经走了多远”,D,"['D', 'D', 'B', 'D', 'D']",0
48,蒂米的儿子在过去的几个星期里一直在准备他的论文提案。当结果出来时，他的儿子告诉他没有通过。,“我认为你做得很好!你可以从错误中吸取教训，写出更好的提案。”,B,"['A', 'B', 'A', 'B', 'B']",0
49,"贾达的儿子输了足球比赛,因为他自责输球是自己的责任,感到非常难过。","""没关系，儿子。我们需要更加努力地训练下一次。""",A,"['B', 'A', 'A', 'A', 'B']",0
50,安德烈的妈妈告诉他，她认为他的爸爸经常因为一些小事和她打架。,“这对你不公平，妈妈，你应该和他谈谈”,A,"['A', 'A', 'A', 'A', 'A']",0
51,小李的同事没能及时传达一条重要信息，导致小李进度也落后了。,向同事解释情况的急迫性,C,"['C', 'C', 'C', 'A', 'A']",0
52,艾拉和康妮已经共处一个办公室几年了。但艾拉换了工作后，康妮就和她失去了联络。,联系艾拉安排相聚，同时也找替代她的新朋友,C,"['A', 'C', 'C', 'C', 'C']",0
53,艾伦帮一个偶尔一起工作的同事图蒂完成一个困难的任务。图蒂却抱怨艾伦做的不够好，艾伦则回应说她应该对他的帮助感到感激。他们因此发生了争执。,休息一下，等双方都冷静下来再讨论这个问题,D,"['A', 'D', 'D', 'D', 'D']",0
54,赫加的团队表现非常出色。但他们收到了另一个团队的质量不佳的工作成果，还必须将其融入到自己的项目中。,向项目管理者告知情况,A,"['A', 'A', 'D', 'A', 'B']",0
55,迈克一边学习一边兼职。他老板在截止前更改了他的轮班时间，却没有事先征求他的意见。,调查新轮班是否有什么合理的解释,A,"['A', 'A', 'A', 'A', 'A']",0
56,卡洛琳在网上找到了一个因其粗鲁的客户服务而出名的餐厅。她打算去那里吃晚饭。她刚坐下，不仅没有受到迎接，还就被服务生用很多粗鲁的语言咒骂了。,无视服务员的行为享受饭菜，因为她本就预想到了这种服务,A,"['A', 'B', 'A', 'B', 'A']",0
57,马库斯的同事在工作时不断地打私人电话，不顾这对工作环境的影响。,给同事关于职场礼仪的提示,A,"['A', 'A', 'A', 'A', 'A']",0
58,托尼娅的老板对她不公平，让她的工作生活很痛苦。尽管与人力资源部门进行了多次讨论，情况似乎没有改善。,开始寻找新的工作,B,"['B', 'C', 'B', 'B', 'B']",0
59,哈珀的同事在办公室里哭泣，并且当别人试图接近她时，她会推开他们。,向她保证她并不孤单，自己会支持她,C,"['C', 'C', 'C', 'B', 'A']",0
60,办公室经理凯文注意到工作场所的紧张气氛，因为他的两名团队成员昨天发生了激烈的争吵，从那以后他们就没有再说话。,单独面对两名团队成员以了解他们的观点。,A,"['A', 'A', 'D', 'A', 'A']",0
61,尼尔的新同学在英语作业上似乎有困难，因为英语是他的第二语言，他在小组项目中经常感到被忽视。,课后提供帮助新同学学习英语,A,"['NONE', 'A', 'NONE', 'A', 'A']",0
62,劳拉的团队成员私下告诉她，她正在处理个人危机，难以集中精力工作。这影响了整个团队的工作效率。,私下提供给她一些帮助和支持,B,"['B', 'B', 'A', 'B', 'B']",0
63,特雷弗的同事总是拿他们繁重的工作量和缺乏睡眠开玩笑，但特雷弗看出这开始影响到他们的工作表现和健康了。,给同事关于工作和生活平衡的建议,A,"['B', 'A', 'NONE', 'C', 'A']",0
64,汉娜的同学总是在课堂上打断别人提问，还取笑他们。,礼貌地告诉这位同学她的行为是如何影响其他学生的,A,"['A', 'A', 'NONE', 'A', 'NONE']",0
65,杰西卡的同事在团队会议中总是把她的想法据为己有。,直接跟同事讨论这个问题,B,"['B', 'B', 'B', 'B', 'B']",0
66,马克斯为自己的工作质量最高而自豪，而且马克思很热心肠。在与另一个团队的联合项目中，他的新队友做得很糟糕，以为马克斯会修正他们的错误。,联系另一个团队的人，指出他们的错误，并要求他们改正,A,"['D', 'A', 'A', 'A', 'A']",0
67,一个负责日常调整设备的初级员工指责西奥造成了设备的故障。,解释故障不是他的错,A,"['A', 'A', 'A', 'A', 'A']",0
68,接替西利亚的女士迟到了二十分钟，没有任何借口或道歉。,要求她解释迟到的原因,A,"['B', 'A', 'A', 'A', 'A']",0
69,杰森发现他的社交运动队的一些成员一直说他不是一个很好的球员。,做一些额外的训练来尝试提高,A,"['A', 'A', 'A', 'A', 'A']",0
70,乔尔总是和一个特定的客户打交道，但在一项非常复杂的工作上，他的老板把任务交给了同事。乔尔怀疑他的老板是否认为他不能胜任重要的工作。,做好工作，这样将来复杂的任务将被交给他,A,"['D', 'A', 'A', 'A', 'A']",0
71,一个要求很高的客户占用了吉尔很多时间，并且要求和吉尔的老板谈谈她的表现。吉尔的老板向她保证她的表现很好，但吉尔并不相信。,想想她过去一直很成功，这个客户很难相处不是她的错。,A,"['A', 'B', 'A', 'A', 'A']",0
72,布莱尔和弗林通常在工作周结束后去咖啡馆聊天，聊聊公司里发生的事情。在布莱尔的工作被调到公司的另一个部门后，他不再来咖啡馆了。弗林怀念那些在周五的会谈。,再次邀请布莱尔，也许可以改天再约,A,"['NONE', 'A', 'NONE', 'A', 'A']",0
73,汉娜获得必要资源的时间被她的同事耽误了，她的工作也远远落后于计划。她的进度报告没有提到缺乏资源这件事。,在她的进度报告中记录缺乏资源这件事,A,"['A', 'A', 'A', 'A', 'A']",0
74,珍妮丝因进入禁区而受到正式警告。她从未被告知该区域是禁区，并且如果她再得到两次警告，她将失去工作，她认为这是不公平的。,解释她不知道那里是禁区,A,"['A', 'B', 'A', 'A', 'A']",0
75,在一个小组项目中，约瑟夫发现她的一个队友的贡献不如其他人，这导致了项目提交的延迟。,向教授报告情况并征求建议,B,"['A', 'A', 'B', 'B', 'B']",0
76,里奥的同事走向他，告诉他自己在报告中犯了一个错误，会严重影响项目的时间表。,“我觉得我们需要通知我们的上司，也许你还有机会补救”,A,"['A', 'A', 'B', 'A', 'C']",0
77,米娅的同事在午休时说，由于家里的个人问题，她的工作表现正在下降,“听起来太艰难了，你想聊聊吗？”,B,"['C', 'B', 'B', 'A', 'B']",0
78,凯拉的同事很沮丧，因为她被告知她的表现没有达到公司期望，即将被辞退,“那太难了！听到这个我很难过。”,NONE,"['NONE', 'NONE', 'A', 'A', 'C']",0
79,基拉的队友向她承认自己故意错过了比赛，为了给另一个选手一个机会。,“我欣赏你的慷慨举动，但你也应该先和团队讨论”,B,"['NONE', 'B', 'B', 'B', 'B']",0
80,马克斯的同事迟到了，还忘了带讨论需要的重要文件,“每个人都会犯错，让我们看看我们如何解决这个问题”,NONE,"['A', 'NONE', 'NONE', 'NONE', 'NONE']",0
81,黛安娜的同事向她吐露，她很难应对老板的持续批评,“我支持你，让我们一起进步吧”,B,"['A', 'B', 'B', 'A', 'B']",0
82,在期末考试的几个小时前，阿丽斯塔的同学向她透露，她对课程内容感到吃力，担心会不及格。,"""我们都有时候会挣扎。一起学习会有帮助吗？""",A,"['A', 'A', 'C', 'A', 'A']",0
83,杰瑞的同事彼得，在他的团队成员公开批评他为新公司项目的想法后，向他表达了自己的挫折感。,“我认为你需要讨论来澄清误解”,NONE,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",0
84,玛丽亚的同学在午休时向她坦白，他一直在考试中作弊，因为他听不懂课堂的内容。,"""我认为作弊不是解决问题的方法。你需要找到一个更好的学习策略。""",A,"['A', 'A', 'A', 'B', 'NONE']",0
85,劳伦的同学一直在逃课，感到自己无法跟上作业的进度。他正在向劳伦寻求帮助。,"""你可以跟教授交谈，请求延长作业的提交时间。""",A,"['A', 'A', 'A', 'A', 'A']",0
86,西蒙的同事总是错过截止日期，导致工作环境压力大，还把她的任务推给别人。,"""我们需要作为一个团队一起工作，所以如果你有困难，请与我们沟通""",C,"['C', 'C', 'C', 'C', 'B']",0
87,海莉的队友感到格格不入，因为他是球队里唯一一个特定种族背景的人。,"""我理解你的担忧，让我们看看怎样可以让团队更具包容性""",NONE,"['NONE', 'NONE', 'NONE', 'A', 'NONE']",0
88,我的老板告诉我，我们在外面吃完午饭后，他的胃痛得厉害。,“你应该吃一些药并且今天多休息一下”,A,"['A', 'A', 'B', 'B', 'A']",0
89,在一次公司会议上，萨莉因为她对自己想法的评论与一位女同事发生了争论。会后，她找到萨莉，告诉她自己的评论被误解了。,"""没问题，我们来谈谈，解开我们之间的误会吧""",A,"['A', 'A', 'A', 'C', 'A']",0
90,安东尼注意到他的同事和他们的老板之间似乎有些暧昧。当被问及时，他发现她对他有感情，但他已经结婚了。,"""你知道，对某人有感觉是正常的，但考虑后果很重要""",A,"['A', 'A', 'A', 'A', 'A']",0
91,西亚的同事因为她的公众演讲恐惧症，在一次陈述会议中突然哭泣起来。,“没关系的！深呼吸一下再继续。”,A,"['B', 'A', 'A', 'A', 'B']",0
92,我老邻居今晚请我去吃晚饭，我们有了更深入的了解。她告诉我，自从孩子们搬出去后，她一直在与孤独感作斗争。,"“我可以介绍你认识其他一些邻居""",A,"['A', 'B', 'A', 'A', 'B']",0
93,艾琳的一个同学被认为非常内向。今天，他走近艾琳，告诉她他感到被排斥在外，因为没有人邀请他放学后一起出去玩。,“这个星期六你想一起出去玩吗？”,B,"['B', 'B', 'B', 'B', 'A']",0
